country,year,demo_score,gdp
China,1960,-8,889
China,1961,-8,558
China,1962,-8,567
China,1963,-8,635
China,1964,-8,713
China,1965,-8,772
China,1966,-9,826
China,1967,-9,719
China,1968,-9,669
China,1969,-8,732
China,1970,-8,848
China,1971,-8,876
China,1972,-8,843
China,1973,-8,894
China,1974,-8,888
China,1975,-8,920
China,1976,-7,891
China,1977,-7,904
China,1978,-7,1016
China,1979,-7,1059
China,1980,-7,1073
China,1981,-7,1099
China,1982,-7,1175
China,1983,-7,1229
China,1984,-7,1456
China,1985,-7,1557
China,1986,-7,1604
China,1987,-7,1652
China,1988,-7,1597
China,1989,-7,1474
China,1990,-7,1516
China,1991,-7,1634
China,1992,-7,1845
China,1993,-7,2078
China,1994,-7,2323
China,1995,-7,2551
China,1996,-7,2775
China,1997,-7,3000
China,1998,-7,3205
China,1999,-7,3419
China,2000,-7,3678
China,2001,-7,3955
China,2002,-7,4285
China,2003,-7,4685
China,2004,-7,5127
China,2005,-7,5675
China,2006,-7,6360
China,2007,-7,7225
China,2008,-7,7880
China,2009,-7,8565
China,2010,-7,9430
China,2011,-7,10274
Denmark,1800,-10,2013
Denmark,1801,-10,2017
Denmark,1802,-10,2020
Denmark,1803,-10,2024
Denmark,1804,-10,2028
Denmark,1805,-10,2032
Denmark,1806,-10,2035
Denmark,1807,-10,2039
Denmark,1808,-10,2043
Denmark,1809,-10,2047
Denmark,1810,-10,2050
Denmark,1811,-10,2054
Denmark,1812,-10,2058
Denmark,1813,-10,2062
Denmark,1814,-10,2066
Denmark,1815,-10,2070
Denmark,1816,-10,2073
Denmark,1817,-10,2077
Denmark,1818,-10,2081
Denmark,1819,-10,2085
Denmark,1820,-10,2089
Denmark,1821,-10,2169
Denmark,1822,-10,2182
Denmark,1823,-10,2154
Denmark,1824,-10,2191
Denmark,1825,-10,2184
Denmark,1826,-10,2191
Denmark,1827,-10,2235
Denmark,1828,-10,2251
Denmark,1829,-10,2200
Denmark,1830,-10,2214
Denmark,1831,-10,2198
Denmark,1832,-10,2261
Denmark,1833,-10,2234
Denmark,1834,-9,2339
Denmark,1835,-9,2308
Denmark,1836,-9,2296
Denmark,1837,-9,2340
Denmark,1838,-9,2341
Denmark,1839,-9,2353
Denmark,1840,-9,2412
Denmark,1841,-9,2391
Denmark,1842,-9,2384
Denmark,1843,-9,2503
Denmark,1844,-9,2594
Denmark,1845,-9,2639
Denmark,1846,-9,2673
Denmark,1847,-9,2641
Denmark,1848,-9,2755
Denmark,1849,2,2895
Denmark,1850,2,3029
Denmark,1851,2,2853
Denmark,1852,2,2927
Denmark,1853,2,2913
Denmark,1854,2,2899
Denmark,1855,2,3182
Denmark,1856,2,2967
Denmark,1857,2,2982
Denmark,1858,2,2927
Denmark,1859,2,3089
Denmark,1860,2,3029
Denmark,1861,2,3044
Denmark,1862,2,3103
Denmark,1863,2,3266
Denmark,1864,2,3207
Denmark,1865,2,3286
Denmark,1866,-1,3263
Denmark,1867,-1,3234
Denmark,1868,-1,3262
Denmark,1869,-1,3420
Denmark,1870,-3,3536
Denmark,1871,-3,3524
Denmark,1872,-3,3695
Denmark,1873,-3,3647
Denmark,1874,-3,3723
Denmark,1875,-3,3755
Denmark,1876,-3,3794
Denmark,1877,-3,3650
Denmark,1878,-3,3755
Denmark,1879,-3,3844
Denmark,1880,-3,3908
Denmark,1881,-3,3917
Denmark,1882,-3,4026
Denmark,1883,-3,4137
Denmark,1884,-3,4118
Denmark,1885,-3,4104
Denmark,1886,-3,4222
Denmark,1887,-3,4334
Denmark,1888,-3,4330
Denmark,1889,-3,4356
Denmark,1890,-3,4587
Denmark,1891,-3,4652
Denmark,1892,-3,4737
Denmark,1893,-3,4800
Denmark,1894,-3,4860
Denmark,1895,-3,5074
Denmark,1896,-3,5201
Denmark,1897,-3,5259
Denmark,1898,-3,5279
Denmark,1899,-3,5439
Denmark,1900,-3,5566
Denmark,1901,-2,5736
Denmark,1902,-1,5812
Denmark,1903,0,6098
Denmark,1904,1,6172
Denmark,1905,2,6219
Denmark,1906,3,6332
Denmark,1907,3,6499
Denmark,1908,4,6631
Denmark,1909,4,6810
Denmark,1910,5,6937
Denmark,1911,6,7210
Denmark,1912,7,7116
Denmark,1913,8,7292
Denmark,1914,9,7649
Denmark,1915,10,7020
Denmark,1916,10,7219
Denmark,1917,10,6699
Denmark,1918,10,6396
Denmark,1919,10,7126
Denmark,1920,10,7359
Denmark,1921,10,7031
Denmark,1922,10,7633
Denmark,1923,10,8327
Denmark,1924,10,8247
Denmark,1925,10,7951
Denmark,1926,10,8326
Denmark,1927,10,8412
Denmark,1928,10,8620
Denmark,1929,10,9118
Denmark,1930,10,9571
Denmark,1931,10,9581
Denmark,1932,10,9219
Denmark,1933,10,9414
Denmark,1934,10,9591
Denmark,1935,10,9708
Denmark,1936,10,9856
Denmark,1937,10,10001
Denmark,1938,10,10148
Denmark,1939,10,10534
Denmark,1940,-10,8977
Denmark,1941,-10,8012
Denmark,1942,-10,8095
Denmark,1943,-10,8871
Denmark,1944,-10,9666
Denmark,1945,10,8822
Denmark,1946,10,10047
Denmark,1947,10,10484
Denmark,1948,10,10643
Denmark,1949,10,11258
Denmark,1950,10,12025
Denmark,1951,10,12004
Denmark,1952,10,12027
Denmark,1953,10,12601
Denmark,1954,10,12732
Denmark,1955,10,12767
Denmark,1956,10,12837
Denmark,1957,10,13741
Denmark,1958,10,13963
Denmark,1959,10,14896
Denmark,1960,10,15198
Denmark,1961,10,16061
Denmark,1962,10,16815
Denmark,1963,10,16793
Denmark,1964,10,18228
Denmark,1965,10,18917
Denmark,1966,10,19284
Denmark,1967,10,19775
Denmark,1968,10,20482
Denmark,1969,10,21701
Denmark,1970,10,21990
Denmark,1971,10,22464
Denmark,1972,10,23562
Denmark,1973,10,24318
Denmark,1974,10,24027
Denmark,1975,10,23846
Denmark,1976,10,25376
Denmark,1977,10,25758
Denmark,1978,10,26108
Denmark,1979,10,27020
Denmark,1980,10,26921
Denmark,1981,10,26741
Denmark,1982,10,27622
Denmark,1983,10,28392
Denmark,1984,10,29711
Denmark,1985,10,31032
Denmark,1986,10,32181
Denmark,1987,10,32297
Denmark,1988,10,32720
Denmark,1989,10,32849
Denmark,1990,10,33256
Denmark,1991,10,33601
Denmark,1992,10,34152
Denmark,1993,10,34008
Denmark,1994,10,35766
Denmark,1995,10,36670
Denmark,1996,10,37521
Denmark,1997,10,38584
Denmark,1998,10,39297
Denmark,1999,10,40321
Denmark,2000,10,41693
Denmark,2001,10,41886
Denmark,2002,10,41947
Denmark,2003,10,41996
Denmark,2004,10,42993
Denmark,2005,10,43919
Denmark,2006,10,45437
Denmark,2007,10,45609
Denmark,2008,10,45017
Denmark,2009,10,42498
Denmark,2010,10,42997
Denmark,2011,10,43314
Egypt,1922,4,1350
Egypt,1923,4,1431
Egypt,1924,4,1503
Egypt,1925,4,1523
Egypt,1926,4,1518
Egypt,1927,4,1538
Egypt,1928,1,1562
Egypt,1929,-3,1567
Egypt,1930,-6,1513
Egypt,1931,-6,1536
Egypt,1932,-6,1580
Egypt,1933,-6,1634
Egypt,1934,-2,1638
Egypt,1935,1,1674
Egypt,1936,1,1693
Egypt,1937,1,1708
Egypt,1938,1,1662
Egypt,1939,1,1625
Egypt,1940,1,1642
Egypt,1941,1,1642
Egypt,1942,1,1572
Egypt,1943,1,1587
Egypt,1944,1,1607
Egypt,1945,1,1645
Egypt,1946,1,1663
Egypt,1947,1,1682
Egypt,1948,1,1700
Egypt,1949,1,1718
Egypt,1950,1,1736
Egypt,1951,1,1738
Egypt,1952,-7,1818
Egypt,1953,-7,1868
Egypt,1954,-7,1781
Egypt,1955,-7,1741
Egypt,1956,-7,1736
Egypt,1957,-7,1780
Egypt,1958,-7,1908
Egypt,1959,-7,1947
Egypt,1960,-7,2052
Egypt,1961,-7,2105
Egypt,1962,-7,2103
Egypt,1963,-7,2128
Egypt,1964,-7,2443
Egypt,1965,-7,2509
Egypt,1966,-7,2447
Egypt,1967,-7,2377
Egypt,1968,-7,2460
Egypt,1969,-7,2614
Egypt,1970,-7,3055
Egypt,1971,-7,3090
Egypt,1972,-7,3140
Egypt,1973,-7,3095
Egypt,1974,-7,3105
Egypt,1975,-7,3193
Egypt,1976,-6,3552
Egypt,1977,-6,3745
Egypt,1978,-6,3953
Egypt,1979,-6,4262
Egypt,1980,-6,4580
Egypt,1981,-6,4553
Egypt,1982,-6,4757
Egypt,1983,-6,5044
Egypt,1984,-6,5303
Egypt,1985,-6,5539
Egypt,1986,-6,5658
Egypt,1987,-6,5774
Egypt,1988,-6,5886
Egypt,1989,-6,5933
Egypt,1990,-6,6020
Egypt,1991,-6,5974
Egypt,1992,-6,6134
Egypt,1993,-6,6212
Egypt,1994,-6,6360
Egypt,1995,-6,6553
Egypt,1996,-6,6774
Egypt,1997,-6,7036
Egypt,1998,-6,7207
Egypt,1999,-6,7528
Egypt,2000,-6,7807
Egypt,2001,-6,7955
Egypt,2002,-6,8013
Egypt,2003,-6,8134
Egypt,2004,-6,8328
Egypt,2005,-3,8556
Egypt,2006,-3,8990
Egypt,2007,-3,9467
Egypt,2008,-3,9974
Egypt,2009,-3,10267
Egypt,2010,-3,10615
Egypt,2011,-2,10629
France,1800,-8,1803
France,1801,-8,1806
France,1802,-8,1810
France,1803,-8,1813
France,1804,-8,1817
France,1805,-8,1821
France,1806,-8,1824
France,1807,-8,1828
France,1808,-8,1832
France,1809,-8,1835
France,1810,-8,1839
France,1811,-8,1842
France,1812,-8,1846
France,1813,-8,1850
France,1814,-4,1854
France,1815,-4,1857
France,1816,-4,1861
France,1817,-4,1865
France,1818,-4,1868
France,1819,-4,1872
France,1820,-4,1876
France,1821,-4,1992
France,1822,-4,1844
France,1823,-4,1834
France,1824,-4,1789
France,1825,-4,1798
France,1826,-4,1851
France,1827,-4,1860
France,1828,-4,1742
France,1829,-4,1836
France,1830,-1,1799
France,1831,-1,1783
France,1832,-1,1910
France,1833,-1,1905
France,1834,-1,1879
France,1835,-1,1974
France,1836,-1,2008
France,1837,-1,2029
France,1838,-1,2069
France,1839,-1,2033
France,1840,-1,2184
France,1841,-1,2119
France,1842,-1,2074
France,1843,-1,2148
France,1844,-1,2209
France,1845,-1,2284
France,1846,-1,2424
France,1847,-1,2638
France,1848,6,2055
France,1849,6,2047
France,1850,6,2146
France,1851,-1,2106
France,1852,-8,2379
France,1853,-8,2641
France,1854,-8,2958
France,1855,-8,3114
France,1856,-8,3228
France,1857,-8,3112
France,1858,-8,2900
France,1859,-8,2902
France,1860,-8,3086
France,1861,-7,3147
France,1862,-6,3255
France,1863,-6,3342
France,1864,-6,3396
France,1865,-6,3333
France,1866,-6,3469
France,1867,-6,3413
France,1868,-6,3644
France,1869,-3,3417
France,1870,-2,3297
France,1871,-1,3449
France,1872,1,3631
France,1873,2,3581
