"","X","X1972..YR1972.","X1973..YR1973.","X1974..YR1974.","X1975..YR1975.","X1976..YR1976.","X1977..YR1977.","X1978..YR1978.","X1979..YR1979.","X1980..YR1980.","X1981..YR1981.","X1982..YR1982.","X1983..YR1983.","X1984..YR1984.","X1985..YR1985.","X1986..YR1986.","X1987..YR1987.","X1988..YR1988.","X1989..YR1989.","X1990..YR1990.","X1991..YR1991.","X1992..YR1992.","X1993..YR1993.","X1994..YR1994.","X1995..YR1995.","X1996..YR1996.","X1997..YR1997.","X1998..YR1998.","X1999..YR1999.","X2000..YR2000.","X2001..YR2001.","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","Country.Name","Series.Code","Series.Name"
"152",202884,37926125,39026975,40150999,41296295,42462461,43651688,44867695,46115445,47398432,48716422,50067906,51453251,52872611,54324952,55811616,57329415,58867229,60410438,61948688,63476449,64996507,66517085,68050807,69606539,71184718,72780928,74393147,76018006,77651848,79297756,80953652,82604681,84231329,85821214,87366573,88875548,"Philippines","SP.POP.TOTL","Population (Total)"
"153",204221,33055650,33357200,33678899,34015199,34356300,34689050,34965600,35247217,35574150,35898587,36230481,36571808,36904134,37201885,37456119,37668045,37824487,37961529,38110782,38246193,38363667,38461408,38542652,38594998,38624370,38649660,38663481,38660271,38258629,38248076,38230364,38204570,38182222,38165445,38141267,38120560,"Poland","SP.POP.TOTL","Population (Total)"
"154",205558,8630430,8633100,8754365,9093470,9355810,9455675,9558250,9661265,9766312,9851362,9911771,9957865,9996232,10023613,10032734,10030031,10019610,10005000,9983218,9960235,9952494,9964675,9991525,10026176,10063945,10108977,10160196,10217828,10289898,10362722,10419631,10458821,10483861,10503330,10522288,10542964,"Portugal","SP.POP.TOTL","Population (Total)"
"155",206895,2817256,2878786,2939299,2994000,3043854,3088690,3129421,3168088,3206000,3242552,3277453,3311138,3344190,3377000,3409554,3441850,3473898,3505650,3537000,3562110,3585176,3615497,3649237,3683103,3724655,3759430,3781101,3800081,3810605,3818774,3823701,3826095,3826878,3821362,3805214,3782995,"Puerto Rico","SP.POP.TOTL","Population (Total)"
"156",208232,130390,142126,153610,164354,173786,182404,192059,205286,223752,248077,277245,309256,341249,371026,398284,423300,445197,463079,476517,485129,489606,491996,495106,501154,512476,529491,550367,572155,593693,611808,629745,660238,720383,821159,967602,1152459,"Qatar","SP.POP.TOTL","Population (Total)"
"157",209569,20657957,20835681,21029429,21293583,21551634,21756096,21951464,22090488,22242653,22415169,22515389,22588790,22655940,22755427,22859269,22949430,23057662,23161458,23201835,23001155,22794284,22763280,22730211,22684270,22619004,22553978,22507344,22472040,22442971,22131970,21730496,21574326,21451748,21319685,21193760,20882982,"Romania","SP.POP.TOTL","Population (Total)"
"158",210906,131909000,132669000,133432000,134200000,135147000,136100000,137060000,138027000,139010000,139941000,140823000,141668000,142745000,143858000,144894000,145908000,146857000,147721000,148292000,148624000,148689000,148520000,148336000,148141000,148160126,147915373,147670780,147214777,146596870,145976473,145408033,144667468,143821212,143113885,142487260,142114903,"Russian Federation","SP.POP.TOTL","Population (Total)"
"159",212243,3983659,4102262,4226773,4359166,4499767,4648096,4804354,4968600,5140786,5313633,5485328,5666907,5873794,6112554,6405995,6740876,7045785,7223798,7214696,6973664,6545100,6066268,5728464,5663838,5929575,6470628,7169658,7853015,8395577,8760003,8987523,9126167,9254379,9429457,9660946,9928143,"Rwanda","SP.POP.TOTL","Population (Total)"
"160",213580,147323,148889,150219,151383,152390,153244,154010,154763,155554,156435,157401,158383,159281,160030,160591,161014,161424,162001,162865,164073,165568,167206,168786,170158,171276,172191,172979,173758,174614,175567,176592,177677,178794,179928,181073,182240,"Samoa","SP.POP.TOTL","Population (Total)"
"161",214917,19394,19464,19563,19732,19986,20311,20681,21053,21397,21706,21989,22255,22514,22776,23041,23304,23571,23847,24135,24441,24766,25093,25402,25680,25914,26114,26321,26594,26969,27467,28064,28700,29290,29775,30130,30377,"San Marino","SP.POP.TOTL","Population (Total)"
"162",216254,77543,79038,80679,82607,84874,87407,90058,92622,94953,96991,98802,100515,102325,104371,106684,109211,111894,114647,117395,120154,122929,125628,128135,130378,132323,134029,135650,137396,139428,141783,144447,147455,150842,154615,158806,163390,"Sao Tome and Principe","SP.POP.TOTL","Population (Total)"
"163",217591,6342159,6654009,6998359,7377881,7790588,8236583,8722480,9256774,9843265,10484746,11172632,11885086,12592829,13273786,13918323,14528398,15107785,15665086,16206078,16739895,17263613,17758096,18197011,18567343,18848350,19060850,19282965,19620692,20144584,20891594,21825217,22852333,23839231,24690067,25371936,25915624,"Saudi Arabia","SP.POP.TOTL","Population (Total)"
"164",218928,4485775,4625876,4765169,4901053,5032394,5160810,5289871,5424642,5568908,5723711,5888343,6062681,6246065,6437891,6638009,6846349,7062329,7285204,7514110,7749606,7990968,8234586,8475766,8711528,8940298,9164050,9387783,9618564,9861679,10119118,10390050,10673535,10967568,11270826,11582925,11904974,"Senegal","SP.POP.TOTL","Population (Total)"
"165",220265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7586000,7595636,7646424,7699307,7734639,7738987,7708878,7649631,7567745,7540401,7516346,7503433,7500031,7480591,7463157,7440769,7411569,7381579,"Serbia","SP.POP.TOTL","Population (Total)"
"166",221602,56068,57284,58466,59600,60704,61742,62707,63594,64400,65128,65780,66367,66902,67400,67877,68352,68848,69388,70000,70755,71657,72711,73925,75304,76417,77319,78846,80410,81131,81202,83700,82800,82500,82900,84600,85033,"Seychelles","SP.POP.TOTL","Population (Total)"
"167",222939,2637861,2695784,2756810,2820782,2887735,2957599,3029965,3104305,3180237,3255883,3330947,3408340,3492174,3584397,3688492,3800961,3908478,3993016,4042678,4053257,4031730,3991434,3951544,3927105,3919708,3928313,3961869,4030443,4139757,4295667,4493047,4712763,4928175,5119895,5280909,5416015,"Sierra Leone","SP.POP.TOTL","Population (Total)"
"168",224276,2152400,2193000,2229800,2262600,2293300,2325300,2353600,2383500,2413900,2532800,2646500,2681100,2732200,2736000,2733400,2774800,2846100,2930900,3047100,3135100,3230700,3313500,3419000,3524500,3670700,3796000,3927200,3958700,4027900,4138000,4176000,4114800,4166700,4265800,4401400,4588600,"Singapore","SP.POP.TOTL","Population (Total)"
"169",225613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31240,31084,30519,31189,32566,33791,35318,36936,38272,39464,"Sint Maarten (Dutch part)","SP.POP.TOTL","Population (Total)"
"170",226950,4596622,4641445,4689623,4739105,4789507,4840501,4890125,4938973,4979815,5016105,5055099,5091971,5127097,5161768,5193838,5222840,5250596,5275942,5299187,5303294,5305016,5325305,5346331,5361999,5373361,5383291,5390516,5396020,5388720,5378867,5376912,5373374,5372280,5372807,5373054,5374622,"Slovak Republic","SP.POP.TOTL","Population (Total)"
"171",228287,1752233,1766697,1776132,1793581,1820249,1842377,1862548,1882599,1901315,1906531,1910334,1922321,1932154,1941641,1965964,1989776,1995196,1996351,1998161,1999429,1996498,1991746,1989443,1989872,1988628,1985956,1981629,1983045,1988925,1992060,1994530,1995733,1997012,2000474,2006868,2018122,"Slovenia","SP.POP.TOTL","Population (Total)"
"172",229624,172599,179354,186338,193447,200642,207942,215353,222905,230614,238488,246502,254602,262719,270809,278846,286868,294962,303258,311849,320764,329984,339490,349250,359236,369439,379861,390493,401323,412336,423529,434880,446335,457827,469306,480745,492148,"Solomon Islands","SP.POP.TOTL","Population (Total)"
"173",230961,3490295,3526527,3644572,3880955,4259636,4754149,5289049,5758961,6089707,6251730,6271538,6199671,6113252,6068425,6082723,6138907,6217331,6285456,6321615,6319531,6294017,6269244,6278911,6346440,6481035,6673254,6904978,7149044,7385416,7609265,7825924,8037706,8249965,8466938,8687671,8910851,"Somalia","SP.POP.TOTL","Population (Total)"
"174",232298,23126276,23655908,24189837,24728000,25268094,25805575,26355319,26940793,27576000,28254655,28971839,29724004,30505361,31307880,32121290,32933081,33728498,34490549,35200000,35933108,36690739,37473796,38283223,39120000,40000247,40926063,41899683,42923485,4.4e+07,44909738,45808736,46409243,47019452,47639556,48269753,48910248,"South Africa","SP.POP.TOTL","Population (Total)"
"175",233635,3823781,3917741,4015666,4117767,4222557,4329970,4443163,4566435,4701961,4850393,5007897,5166491,5315479,5446452,5562024,5663186,5738763,5774680,5764216,5698383,5588959,5475424,5411318,5434266,5561120,5779278,6060600,6362201,6652984,6924455,7186820,7449905,7730180,8039351,8376893,8736736,"South Sudan","SP.POP.TOTL","Population (Total)"
"176",234972,34502705,34817071,35154338,35530725,35939437,36370050,36872506,37201123,37439035,37740556,37942805,38122429,38278575,38418817,38535617,38630820,38715849,38791473,38850435,38939049,39067745,39189400,39294967,39387017,39478186,39582413,39721108,39926268,40263216,40756001,41431558,42187645,42921895,43653155,44397319,45226803,"Spain","SP.POP.TOTL","Population (Total)"
