"","country","year","demo_score"
"866","Austria","1892",-4
"867","Austria","1893",-4
"868","Austria","1894",-4
"869","Austria","1895",-4
"870","Austria","1896",-4
"871","Austria","1897",-4
"872","Austria","1898",-4
"873","Austria","1899",-4
"874","Austria","1900",-4
"875","Austria","1901",-4
"876","Austria","1902",-4
"877","Austria","1903",-4
"878","Austria","1904",-4
"879","Austria","1905",-4
"880","Austria","1906",-4
"881","Austria","1907",-4
"882","Austria","1908",-4
"883","Austria","1909",-4
"884","Austria","1910",-4
"885","Austria","1911",-4
"886","Austria","1912",-4
"887","Austria","1913",-4
"888","Austria","1914",-4
"889","Austria","1915",-4
"890","Austria","1916",-4
"891","Austria","1917",-4
"892","Austria","1918",0
"893","Austria","1919",4
"894","Austria","1920",8
"895","Austria","1921",8
"896","Austria","1922",8
"897","Austria","1923",8
"898","Austria","1924",8
"899","Austria","1925",8
"900","Austria","1926",8
"901","Austria","1927",8
"902","Austria","1928",8
"903","Austria","1929",8
"904","Austria","1930",8
"905","Austria","1931",8
"906","Austria","1932",8
"907","Austria","1933",-1
"908","Austria","1934",-9
"909","Austria","1935",-9
"910","Austria","1936",-9
"911","Austria","1937",-9
"912","Austria","1938",0
"913","Austria","1939",0
"914","Austria","1940",0
"915","Austria","1941",0
"916","Austria","1942",0
"917","Austria","1943",0
"918","Austria","1944",0
"919","Austria","1945",5
"920","Austria","1946",10
"921","Austria","1947",10
"922","Austria","1948",10
"923","Austria","1949",10
"924","Austria","1950",10
"925","Austria","1951",10
"926","Austria","1952",10
"927","Austria","1953",10
"928","Austria","1954",10
"929","Austria","1955",10
"930","Austria","1956",10
"931","Austria","1957",10
"932","Austria","1958",10
"933","Austria","1959",10
"934","Austria","1960",10
"935","Austria","1961",10
"936","Austria","1962",10
"937","Austria","1963",10
"938","Austria","1964",10
"939","Austria","1965",10
"940","Austria","1966",10
"941","Austria","1967",10
"942","Austria","1968",10
"943","Austria","1969",10
"944","Austria","1970",10
"945","Austria","1971",10
"946","Austria","1972",10
"947","Austria","1973",10
"948","Austria","1974",10
"949","Austria","1975",10
"950","Austria","1976",10
"951","Austria","1977",10
"952","Austria","1978",10
"953","Austria","1979",10
"954","Austria","1980",10
"955","Austria","1981",10
"956","Austria","1982",10
"957","Austria","1983",10
"958","Austria","1984",10
"959","Austria","1985",10
"960","Austria","1986",10
